pressure_level,latitude,longitude,valid_time,number,cc,r,crwc,t,u,v
1000.0,13.8,-75.5,2020-03-10,0,0.0,83.60334,9.770631e-07,24.600595,-13.393508,-3.8155394
1000.0,13.8,-75.5,2020-03-11,0,,,,,,
1000.0,13.8,-75.5,2020-03-12,0,0.0,78.271484,4.7223878e-08,24.801636,-7.0608616,-2.9112363
1000.0,13.8,-75.5,2020-03-13,0,,,,,,
1000.0,13.8,-75.5,2020-03-14,0,0.0,86.04727,9.76141e-07,24.519836,-8.671686,-2.9480298
1000.0,13.8,-75.5,2020-03-15,0,,,,,,
1000.0,13.8,-75.5,2020-03-16,0,0.0,77.43359,1.00860165e-08,24.791994,-9.933605,-3.5262947
1000.0,13.8,-75.5,2020-03-17,0,0.0,70.29224,0.0,24.685905,-11.1978245,-3.570738
1000.0,13.8,-75.5,2020-03-18,0,,,,,,
1000.0,13.8,-75.5,2020-03-19,0,0.0,81.371796,5.0939036e-07,24.747683,-12.290846,-3.047731
1000.0,13.8,-75.5,2020-03-20,0,,,,,,
1000.0,13.8,-75.5,2020-03-21,0,0.0,81.927414,8.6840043e-07,24.480673,-11.543733,-2.7490458
1000.0,13.8,-75.5,2020-03-22,0,,,,,,
1000.0,13.8,-75.5,2020-03-23,0,0.0,79.88514,7.2075875e-07,24.760563,-12.135732,-3.0852969
1000.0,13.8,-75.5,2020-03-24,0,,,,,,
1000.0,13.8,-75.5,2020-03-25,0,0.0,85.63635,7.615608e-07,24.575264,-10.907832,-2.8433385
1000.0,13.8,-75.5,2020-03-26,0,,,,,,
1000.0,13.8,-75.5,2020-03-27,0,0.0,81.87326,3.5671263e-07,25.216282,-8.780251,-2.8579435
1000.0,13.8,-75.5,2020-03-28,0,,,,,,
1000.0,13.8,-75.5,2020-03-29,0,0.0,76.35002,1.9164834e-07,25.38716,-14.22526,-2.2075586
1000.0,13.8,-75.5,2020-03-30,0,,,,,,
1000.0,13.8,-75.5,2020-03-31,0,0.0,73.217606,1.834101e-09,25.099993,-11.480139,-2.5711713
1000.0,13.8,-75.5,2020-04-01,0,,,,,,
1000.0,13.8,-75.5,2020-04-02,0,,,,,,
