valid_time,r,crwc,t,u,v,wind_speed,month,day_of_week,Temperature,Precipitation_mm,Relative_Humidity_%,Wind_Speed,Wind_Direction,Cloud_Cover_%
2020-01-01,1.1876647065467008,6.052139e-08,-0.6902236630784915,0.1499368961070082,0.0913741551405618,0.1755856174117209,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,1.006028624153913,2.3383668e-08,-0.6025827521171812,0.1064960857371916,0.0279399397960435,0.110100211231177,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.3537373326229351,0.0,-0.502260750487284,-0.1163749039252135,0.0562445443909843,0.1292538859661561,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.5464837143373235,2.293046e-09,-0.5335313610815641,0.0131169125046231,0.1784449178685791,0.1789263594520882,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.8809142639727237,1.4213863e-08,-0.5984767017609549,0.0879178466286629,0.1469800889226905,0.1712679021169557,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.4911784526395637,0.0,-0.5980787001109187,-0.192913044023366,0.2253052719662824,0.2966107013075584,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.2367937674508174,4.5894502e-10,-0.5298261552443092,-0.0548239945481805,0.1734092829117703,0.1818693206073892,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.2002717251067002,9.170505e-10,-0.4551364074998238,-0.1251419035452095,-0.3795700925911899,0.3996673006546858,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.8144533596955069,1.8798836e-08,-0.5652170305394608,0.0501154997102839,-0.089805269647965,0.1028423539586448,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.7968070249396045,1.4213863e-08,-0.6050295146419346,0.0716917787411994,0.265848159233271,0.2753451559530251,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.3500783419141673,1.7881366e-08,-0.5567026380975771,0.0154941843480129,0.4364109733548084,0.4366859368162679,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.3441056439086368,0.0,-0.4400748879148207,-0.1720260874593009,-0.3041542839854492,0.349432115343247,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.1150606329881955,1.8339961e-09,-0.3775478810708992,-0.1726249937059497,-0.9549580436519493,0.9704350846849764,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.1150606329881955,0.0,-0.3827067405537714,-0.1452963537760589,-0.74819242470612,0.762169885792033,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.6412808516257863,1.7881085e-08,-0.5904787638411465,0.0778452097990391,0.4907831703602874,0.4969185013637058,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.3245795158136351,0.0,-0.5197794564497802,-0.183942135584378,-0.0455742425863702,0.189503880779954,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.5665893953307966,0.0,-0.6151340184380154,-0.3075535239615505,0.1970122842444839,0.3652437682485457,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.2616845134376636,0.0,-0.4397915486449145,-0.1601896595878345,-0.5534330615810719,0.5761500504988825,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,1.0671008876212105,3.438719e-08,-0.6560286879794065,0.1361682601148749,0.3084108914914475,0.3371336130575854,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.5669917792084941,7.3358444e-09,-0.4789425919099445,-0.0283960081311636,-0.2972039149965808,0.2985573652869411,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.6832717112688846,1.5130913e-08,-0.5842718333465113,0.0660419795248404,0.3751555429476534,0.3809241715406205,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.2195993638411336,9.170505e-10,-0.3768106303953526,-0.1038247277124838,-0.5326912898911008,0.542715012147643,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.8856647960213665,2.613447e-08,-0.6312834091997892,0.1485181711473374,0.5224565625585876,0.5431560612949884,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.19108416009025,0.0,-0.4001543747930476,-0.2129320048734952,-0.705806119826149,0.7372260965833279,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.650282239027183,5.960968e-09,-0.5438623467689765,0.0230311185245201,0.0409292191494737,0.0469641714573582,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.2845693457655334,0.0,-0.5035201414227594,-0.0556447579082792,0.0032183640365807,0.0557377515669851,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
2020-01-01,0.4283405046940087,0.0,-0.5986207404533495,-0.288447631985875,-0.1592959138502332,0.3295105833924606,1.0,2.0,-1.4897546,0.0,90.60191,12.738099,137.2906,1.0
