valid_time,pressure_level,latitude,longitude,number,cc,r,crwc,t,u,v
2020-01-01,1000.0,13.05,-75.0,0.0,0.0,82.21174648571429,1.0506261126285716e-08,25.620361199999998,-10.015105785714287,-1.658537990857143
2020-01-02,1000.0,13.05,-75.0,0.0,0.0,81.13603268571428,5.6670363115999995e-08,25.746720085714287,-11.851065685714286,-1.8616002628571429
2020-01-03,1000.0,13.05,-75.0,0.0,0.0,81.13603268571428,5.6670363115999995e-08,25.746720085714287,-11.851065685714286,-1.8616002628571429
2020-01-04,1000.0,13.05,-75.0,0.0,0.0,85.94949168571429,1.440732608485714e-07,25.385478428571428,-11.519494457142857,-1.348763071142857
2020-01-05,1000.0,13.05,-75.0,0.0,0.0,85.94949168571429,1.440732608485714e-07,25.385478428571428,-11.519494457142857,-1.348763071142857
2020-01-06,1000.0,13.05,-75.0,0.0,0.0,79.601399,3.3175599247142854e-07,25.259291,-6.179869745714286,-6.420773074285714
2020-01-07,1000.0,13.05,-75.0,0.0,0.0,79.601399,3.3175599247142854e-07,25.259291,-6.179869745714286,-6.420773074285714
2020-01-08,1000.0,13.05,-75.0,0.0,0.0,86.56983165714286,2.5218685714285715e-06,25.187748142857142,-11.169246614285715,-3.3973017685714284
2020-01-09,1000.0,13.05,-75.0,0.0,0.0,86.56983165714286,2.5218685714285715e-06,25.187748142857142,-11.169246614285715,-3.3973017685714284
2020-01-10,1000.0,13.05,-75.0,0.0,0.0,81.2718478,6.0264755e-07,25.517047685714285,-16.731349599999998,-3.066319802857143
2020-01-11,1000.0,13.05,-75.0,0.0,0.0,81.2718478,6.0264755e-07,25.517047685714285,-16.731349599999998,-3.066319802857143
2020-01-12,1000.0,13.05,-75.0,0.0,0.0,80.75444091428571,3.052281612457143e-08,25.590641657142857,-17.62540437142857,-2.388399077142857
2020-01-13,1000.0,13.05,-75.0,0.0,0.0,80.75444091428571,3.052281612457143e-08,25.590641657142857,-17.62540437142857,-2.388399077142857
2020-01-14,1000.0,13.05,-75.0,0.0,0.0,79.93010282857142,2.1856004202857144e-07,25.196315885714284,-17.21835654285714,-3.8521072742857143
2020-01-15,1000.0,13.05,-75.0,0.0,0.0,79.93010282857142,2.1856004202857144e-07,25.196315885714284,-17.21835654285714,-3.8521072742857143
2020-01-16,1000.0,13.05,-75.0,0.0,0.0,84.61491291428571,8.209856825428572e-07,25.49134277142857,-15.49184352857143,-2.7828166457142856
2020-01-17,1000.0,13.05,-75.0,0.0,0.0,86.2034504,8.660236237714286e-07,25.431247714285714,-15.805324714285716,-5.035768074285714
2020-01-18,1000.0,13.05,-75.0,0.0,0.0,86.2034504,8.660236237714286e-07,25.431247714285714,-15.805324714285716,-5.035768074285714
2020-01-19,1000.0,13.05,-75.0,0.0,0.0,79.84525959999999,6.594490618e-08,25.4549046,-16.7474621,-2.298270634285714
2020-01-20,1000.0,13.05,-75.0,0.0,0.0,79.84525959999999,6.594490618e-08,25.4549046,-16.7474621,-2.298270634285714
2020-01-21,1000.0,13.05,-75.0,0.0,0.0,86.10799768571428,9.854279929714284e-07,25.088011857142856,-9.520513957142857,-2.1770512
2020-01-22,1000.0,13.05,-75.0,0.0,0.0,86.10799768571428,9.854279929714284e-07,25.088011857142856,-9.520513957142857,-2.1770512
