Community,Most Grown Cultivars,Resistant Cultivars (Perceived),Susceptible Cultivars (Perceived),Discrepancies,Number of Cultivars per Farmer_Fewer,Number of Cultivars per Farmer_More,Spray Initiation,"Fungicide Usage_Frequent, 11-20 sprays per season","Fungicide Usage_Less frequent, longer intervals",Primary Information Source_Agrochemical vendors,Primary Information Source_Personal experience,Overall Disease Awareness,Altitude Range (m),Average Fallowing Rate,Aspect,Paucartambo,Ulcumayo
Paucartambo,"Yungay, Huayro, Canchan","Yungay, Huayro","Canchan, Huayro",Yungay considered resistant but is susceptible scientifically,1.0,0.0,At emergence,1.0,0.0,1.0,0.0,1.0,3300-3450,0.0,Disease Pressure,High,High
Ulcumayo,"Yungay, Huayro, Chaulina","Yungay, Chaulina","Canchan, Tomasa",Conflicting reports on Tomasa resistance,0.0,1.0,"At emergence, but less common",0.0,1.0,0.0,1.0,1.0,3450-3600,0.09090909090909083,Altitude Range,51% above 3000 m.a.s.l.,93% above 3000 m.a.s.l.
,,,,,,,,,,,,,3600-3750,0.18181818181818166,Primary Constraint,Late Blight,Late Blight
,,,,,,,,,,,,,3750-3900,0.2727272727272725,Cause of Late Blight,"Combination of sun, rain, and fog; 25% say rain alone","Combination of sun, rain, and fog"
,,,,,,,,,,,,,3900-4050,0.5454545454545459,Information Source,Vendors,Personal experience
,,,,,,,,,,,,,4050-4200,0.8181818181818183,Gender-Based Disease Management,Men use calendars; women observe other farmers,Men use calendars; women observe other farmers
,,,,,,,,,,,,,4200-4350,1.0,,,
